"RSI_Period","RSI_below","times_vol","EMA_volume","takeprofit","stoploss_trail","stoploss_ult","time"
"5","20","2","5","0.025","0.02","0.01","##------ Tue Jun 30 17:55:13 2020 ------##"
"20","25","1","5","0.03","0.02","0.01","##------ Wed Jul  1 01:58:11 2020 ------##"
"5","20","1","5","0.025","0.03","0.02","##------ Thu Jul  2 01:55:46 2020 ------##"
"14","20","1","5","0.03","0.03","0.02","##------ Fri Jul  3 02:15:27 2020 ------##"
"5","35","1","5","0.02","0.05","0.05","##------ Sat Jul  4 01:56:16 2020 ------##"
"14","25","2","10","0.02","0.02","0.01","##------ Sun Jul  5 01:57:10 2020 ------##"
"5","20","2","5","0.015","0.02","0.02","##------ Mon Jul  6 01:57:35 2020 ------##"
"10","35","1","5","0.02","0.02","0.02","##------ Tue Jul  7 01:55:11 2020 ------##"
"10","20","2","5","0.01","0.02","0.01","##------ Thu Jul 16 01:55:58 2020 ------##"
"20","20","1","5","0.01","0.02","0.01","##------ Fri Jul 17 02:05:24 2020 ------##"
"5","35","2","5","0.02","0.02","0.01","##------ Sun Jul 19 02:09:49 2020 ------##"
