RSI_Period,RSI_below,times_vol,EMA_volume,takeprofit,stoploss_trail,stoploss_ult,time
10,40,2,2,5,0.02,0.03,##------ Thu Jun  4 00:40:09 2020 ------##
10,40,2,2,5,0.02,0.03,##------ Thu Jun  4 00:40:09 2020 ------##
10,40,1,1,10,0.02,0.03,##------ Thu Jun  4 15:11:34 2020 ------##
10,30,1,5,0.01,0.03,0.03,##------ Thu Jun  4 17:17:41 2020 ------##
5,25,2,10,0.01,0.03,0.03,##------ Thu Jun  4 18:53:45 2020 ------##
10,25,1,5,0.02,0.03,0.03,##------ Fri Jun  5 03:15:15 2020 ------##
5,40,2,5,0.01,0.02,0.03,##------ Sat Jun  6 03:17:13 2020 ------##
14,45,2,20,0.01,0.04,0.03,##------ Sun Jun  7 02:07:37 2020 ------##
20,40,2,5,0.01,0.02,0.03,##------ Sun Jun  7 18:07:21 2020 ------##
20,40,3,10,0.01,0.03,0.03,##------ Mon Jun  8 05:46:00 2020 ------##
5,20,2,5,0.01,0.03,0.03,##------ Tue Jun  9 05:43:06 2020 ------##
5,25,1,5,0.05,0.02,0.03,##------ Wed Jun 10 05:41:57 2020 ------##
5,30,2,5,0.02,0.01,0.02,##------ Thu Jun 11 00:57:47 2020 ------##
5,45,1,10,0.01,0.02,0.02,##------ Thu Jun 11 06:19:15 2020 ------##
10,25,1,5,0.04,0.02,0.02,##------ Fri Jun 12 04:01:26 2020 ------##
5,20,2,10,0.01,0.02,0.02,##------ Sat Jun 13 04:00:15 2020 ------##
20,35,1,5,0.04,0.01,0.02,##------ Sun Jun 14 04:01:54 2020 ------##
14,20,1,5,0.01,0.01,0.01,##------ Mon Jun 15 06:30:17 2020 ------##
10,20,2,10,0.08,0.02,0.01,##------ Mon Jun 15 13:27:53 2020 ------##
10,20,2,10,0.08,0.02,0.01,##------ Tue Jun 16 03:29:56 2020 ------##
25,35,1,5,0.04,0.01,0.02,Manual
"25","35","1","5","0.04","0.01","0.02","##------ Wed Jun 17 04:04:24 2020 ------##"
"10","25","1","5","0.015","0.01","0.02","##------ Thu Jun 18 04:01:44 2020 ------##"
"10","25","1","5","0.015","0.01","0.01","##------ Fri Jun 19 04:04:51 2020 ------##"
